"Country Code","Region","IncomeGroup","TableName","SpecialNotes",
"ARG","Latin America & Caribbean","Upper middle income","Argentina","",
"BOL","Latin America & Caribbean","Lower middle income","Bolivia","",
"BRA","Latin America & Caribbean","Upper middle income","Brazil","",
"CHL","Latin America & Caribbean","High income","Chile","",
"COL","Latin America & Caribbean","Upper middle income","Colombia","",
"ECU","Latin America & Caribbean","Upper middle income","Ecuador","",
"GUY","Latin America & Caribbean","Upper middle income","Guyana","",
"PER","Latin America & Caribbean","Upper middle income","Peru","",
"PRY","Latin America & Caribbean","Upper middle income","Paraguay","",
"SUR","Latin America & Caribbean","Upper middle income","Suriname","",
"URY","Latin America & Caribbean","High income","Uruguay","",
"VEN","Latin America & Caribbean","Upper middle income","Venezuela, RB","",
