Source,Target,reportsource,"	Data date",Weight
Venezuela,Colombia,"	Government","	31 Oct 2019	",641825
Venezuela,"Peru	","Government	",6-Jan-20,594171
Venezuela,"Chile	",Government,"	30 Jun 2019",472827
Venezuela,Argentina,"	Government","	20 Dec 2019",188041
Venezuela,"Brazil	","Government	",30-Nov-19,123507
Venezuela,Ecuador,"	Government","	31 May 2019",107052
Venezuela,Panama,"	Government	",12-Nov-19,71677
Venezuela,Mexico,"	Government	",31-Aug-19,46072
Venezuela,Uruguay,"	Government","	31 Dec 2019",15606
Venezuela,"Guyana	",Government,"	11 Nov 2019",11881
Venezuela,Dominican Republic,"	Government","	30 Jun 2019",7946
Venezuela,"Costa Rica	",Government,"	30 Jun 2019",5692
Venezuela,Curacao,"	Government","	31 Dec 2018",1291
Venezuela,Paraguay,"	Government","	8 Jan 2020",1191
